Local Government Directory,,,,,,,,,,,,,
All Villages of Gujarat(State code : 24) State,,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
,,(In English),,(In English),,,(In English),(In Local),,,,,
1,438,Ahmedabad,6512,Asarva,930019,2,Asarva,Asarva,Urban,Inhabitant,,000000,
2,438,Ahmedabad,6512,Asarva,930011,2,Dariyapur-Kazipur,Dariyapur-Kazipur,Urban,Inhabitant,,000000,
3,438,Ahmedabad,6512,Asarva,930012,2,Hansol,Hansol,Urban,Inhabitant,,000000,
4,438,Ahmedabad,6512,Asarva,930016,2,Hanspura,Hanspura,Urban,Inhabitant,,000000,
5,438,Ahmedabad,6512,Asarva,930013,2,Kotarpur,Kotarpur,Urban,Inhabitant,,000000,
6,438,Ahmedabad,6512,Asarva,511632,2,Muthiya,,Urban,Inhabitant,00523000,511632,
7,438,Ahmedabad,6512,Asarva,930017,2,Naroda,Naroda,Urban,Inhabitant,,000000,
8,438,Ahmedabad,6512,Asarva,930018,2,Nikol,Nikol,Urban,Inhabitant,,000000,
9,438,Ahmedabad,6512,Asarva,930020,2,Saijpur-Bogha,Saijpur-Bogha,Urban,Inhabitant,,000000,
10,438,Ahmedabad,6512,Asarva,930014,2,Sardarnagar,Sardarnagar,Urban,Inhabitant,,000000,
11,438,Ahmedabad,3784,Bavla,511772,1,Adroda,,Rural,Inhabitant,00537800,511772,
12,438,Ahmedabad,3784,Bavla,511786,1,Amipura,,Rural,Inhabitant,00539200,511786,
13,438,Ahmedabad,3784,Bavla,511804,1,Bagodara,,Rural,Inhabitant,00541000,511804,
14,438,Ahmedabad,3784,Bavla,511775,1,Baldana,,Rural,Inhabitant,00538100,511775,
15,438,Ahmedabad,3784,Bavla,930194,1,Bavla,Bavla,Urban,Inhabitant,,000000,
16,438,Ahmedabad,3784,Bavla,511798,1,Bhamsara,,Rural,Inhabitant,00540400,511798,
17,438,Ahmedabad,3784,Bavla,511796,1,Bhayla,,Rural,Inhabitant,00540200,511796,
18,438,Ahmedabad,3784,Bavla,511774,1,Chhabasar,,Rural,Inhabitant,00538000,511774,
19,438,Ahmedabad,3784,Bavla,511793,1,Chiyada,,Rural,Inhabitant,00539900,511793,
20,438,Ahmedabad,3784,Bavla,511784,1,Dahegamda,,Rural,Inhabitant,00539000,511784,
21,438,Ahmedabad,3784,Bavla,511778,1,Devadthal,,Rural,Inhabitant,00538400,511778,
22,438,Ahmedabad,3784,Bavla,511777,1,Devdholera,,Rural,Inhabitant,00538300,511777,
23,438,Ahmedabad,3784,Bavla,511795,1,Dhanwada,,Rural,Inhabitant,00540100,511795,
24,438,Ahmedabad,3784,Bavla,511770,1,Dhedhal,,Rural,Inhabitant,00537400,511770,
25,438,Ahmedabad,3784,Bavla,511809,1,Dhingda,,Rural,Inhabitant,00541500,511809,
26,438,Ahmedabad,3784,Bavla,511781,1,Dumali,,Rural,Inhabitant,00538700,511781,
27,438,Ahmedabad,3784,Bavla,511779,1,Durgi,,Rural,Inhabitant,00538500,511779,
28,438,Ahmedabad,3784,Bavla,511802,1,Gangad,,Rural,Inhabitant,00540800,511802,
29,438,Ahmedabad,3784,Bavla,511807,1,Gundanapara,,Rural,Inhabitant,00541300,511807,
30,438,Ahmedabad,3784,Bavla,511773,1,Hasannagar,,Rural,Inhabitant,00537900,511773,
31,438,Ahmedabad,3784,Bavla,511790,1,Juval Rupavati,,Rural,Inhabitant,00539600,511790,
32,438,Ahmedabad,3784,Bavla,511805,1,Kaliveji,,Rural,Inhabitant,00541100,511805,
33,438,Ahmedabad,3784,Bavla,511797,1,Kalyangadh,,Rural,Inhabitant,00540300,511797,
34,438,Ahmedabad,3784,Bavla,511799,1,Kanotar,,Rural,Inhabitant,00540500,511799,
35,438,Ahmedabad,3784,Bavla,511771,1,Kavitha,,Rural,Inhabitant,00537600,511771,
36,438,Ahmedabad,3784,Bavla,511767,1,Kavla,,Rural,Inhabitant,00537100,511767,
37,438,Ahmedabad,3784,Bavla,511792,1,Kerala,,Rural,Inhabitant,00539800,511792,
38,438,Ahmedabad,3784,Bavla,511782,1,Kesaradi,,Rural,Inhabitant,00538800,511782,
39,438,Ahmedabad,3784,Bavla,511787,1,Kochariya,,Rural,Inhabitant,00539300,511787,
40,438,Ahmedabad,3784,Bavla,511783,1,Lagdana,,Rural,Inhabitant,00538900,511783,
41,438,Ahmedabad,3784,Bavla,511808,1,Memar,,Rural,Inhabitant,00541400,511808,
42,438,Ahmedabad,3784,Bavla,511780,1,Meni,,Rural,Inhabitant,00538600,511780,
43,438,Ahmedabad,3784,Bavla,511776,1,Metal,,Rural,Inhabitant,00538200,511776,
44,438,Ahmedabad,3784,Bavla,511806,1,Mithapur,,Rural,Inhabitant,00541200,511806,
45,438,Ahmedabad,3784,Bavla,511766,1,Nanodara,,Rural,Inhabitant,00537000,511766,
46,438,Ahmedabad,3784,Bavla,511810,1,Rajoda (Og),,Rural,Inhabitant,00537500,511810,
47,438,Ahmedabad,3784,Bavla,511785,1,Ranesar,,Rural,Inhabitant,00539100,511785,
48,438,Ahmedabad,3784,Bavla,511811,1,Rasam (Og),,Rural,Inhabitant,00537700,511811,
49,438,Ahmedabad,3784,Bavla,511803,1,Rohika,,Rural,Inhabitant,00540900,511803,
50,438,Ahmedabad,3784,Bavla,511788,1,Rupal,,Rural,Inhabitant,00539400,511788,
51,438,Ahmedabad,3784,Bavla,511794,1,Sakodara,,Rural,Inhabitant,00540000,511794,
52,438,Ahmedabad,3784,Bavla,511789,1,Saljada,,Rural,Inhabitant,00539500,511789,
53,438,Ahmedabad,3784,Bavla,511768,1,Sankod,,Rural,Inhabitant,00537200,511768,
54,438,Ahmedabad,3784,Bavla,511801,1,Sarala,,Rural,Inhabitant,00540700,511801,
55,438,Ahmedabad,3784,Bavla,511800,1,Shiyal,,Rural,Inhabitant,00540600,511800,
56,438,Ahmedabad,3784,Bavla,511769,1,Vasna Dhedhal,,Rural,Inhabitant,00537300,511769,
57,438,Ahmedabad,3784,Bavla,511765,1,Vasna Nanodara,,Rural,Inhabitant,00536900,511765,
58,438,Ahmedabad,3784,Bavla,511791,1,Zekda,,Rural,Inhabitant,00539700,511791,
59,438,Ahmedabad,3782,Daskroi,511666,1,Aslali,,Rural,Inhabitant,00527400,511666,
60,438,Ahmedabad,3782,Daskroi,511662,1,Badodara,,Rural,Inhabitant,00527000,511662,
61,438,Ahmedabad,3782,Daskroi,511648,1,Bakrol Bujrang,,Rural,Inhabitant,00525600,511648,
62,438,Ahmedabad,3782,Daskroi,930197,1,Bareja,Bareja,Urban,Inhabitant,,000000,
63,438,Ahmedabad,3782,Daskroi,511673,1,Barejadi,,Rural,Inhabitant,00528600,511673,
64,438,Ahmedabad,3782,Daskroi,511639,1,Bharkunda,,Rural,Inhabitant,00524500,511639,
65,438,Ahmedabad,3782,Daskroi,511679,1,Bhat,,Rural,Inhabitant,00529200,511679,
66,438,Ahmedabad,3782,Daskroi,511647,1,Bhavda,,Rural,Inhabitant,00525500,511647,
67,438,Ahmedabad,3782,Daskroi,511660,1,Bhuval,,Rural,Inhabitant,00526800,511660,
68,438,Ahmedabad,3782,Daskroi,511642,1,Bhuvaldi,,Rural,Inhabitant,00524800,511642,
69,438,Ahmedabad,3782,Daskroi,511651,1,Bibipur,,Rural,Inhabitant,00525900,511651,
70,438,Ahmedabad,3782,Daskroi,511691,1,Bilasiya (Og),,Rural,Inhabitant,00523800,511691,
71,438,Ahmedabad,3782,Daskroi,511685,1,Bopal (Ct),,Urban,Inhabitant,40716000,511685,
72,438,Ahmedabad,3782,Daskroi,511644,1,Chandial,,Rural,Inhabitant,00525200,511644,
73,438,Ahmedabad,3782,Daskroi,511659,1,Chavlaj,,Rural,Inhabitant,00526700,511659,
74,438,Ahmedabad,3782,Daskroi,511674,1,Chosar,,Rural,Inhabitant,00528700,511674,
75,438,Ahmedabad,3782,Daskroi,511671,1,Devdi,,Rural,Inhabitant,00528400,511671,
76,438,Ahmedabad,3782,Daskroi,511654,1,Dhamatvan,,Rural,Inhabitant,00526200,511654,
77,438,Ahmedabad,3782,Daskroi,511690,1,Enasan (Og),,Rural,Inhabitant,00523700,511690,
78,438,Ahmedabad,3782,Daskroi,511670,1,Gamdi,,Rural,Inhabitant,00528300,511670,
79,438,Ahmedabad,3782,Daskroi,511649,1,Gatrad,,Rural,Inhabitant,00525700,511649,
80,438,Ahmedabad,3782,Daskroi,511652,1,Geratnagar,,Rural,Inhabitant,00526000,511652,
81,438,Ahmedabad,3782,Daskroi,511663,1,Geratpur,,Rural,Inhabitant,00527100,511663,
82,438,Ahmedabad,3782,Daskroi,511689,1,Ghuma (Og),,Urban,Inhabitant,,511689,
83,438,Ahmedabad,3782,Daskroi,511676,1,Giramtha,,Rural,Inhabitant,00528900,511676,
84,438,Ahmedabad,3782,Daskroi,511658,1,Govindada,,Rural,Inhabitant,00526600,511658,
85,438,Ahmedabad,3782,Daskroi,511655,1,Harnivav,,Rural,Inhabitant,00526300,511655,
86,438,Ahmedabad,3782,Daskroi,511661,1,Hirapur,,Rural,Inhabitant,00526900,511661,
87,438,Ahmedabad,3782,Daskroi,511635,1,Huka,,Rural,Inhabitant,00524100,511635,
88,438,Ahmedabad,3782,Daskroi,511672,1,Istolabad,,Rural,Inhabitant,00528500,511672,
89,438,Ahmedabad,3782,Daskroi,511675,1,Jetalpur,,Rural,Inhabitant,00528800,511675,
90,438,Ahmedabad,3782,Daskroi,511692,1,Kanbha (Og),,Rural,Inhabitant,00524900,511692,
